2013-10-29 07:43:39: 
2013-10-29 07:43:39: System configuration: lcpu=20 mem=24576MB ent=0.50
2013-10-29 07:43:39: 
2013-10-29 07:43:39: kthr    memory              page              faults              cpu
2013-10-29 07:43:39: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 07:43:39: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 07:43:39: 0  0 3193785 1181246   0   0   0   0    0   0   4 1205 1225  1  1 98  0  0.02   3.8
2013-10-29 07:43:45: 7  1 3193789 1181241   0   0   0   0    0   0  60 1570 1280  1  3 96  0  0.04   7.1
2013-10-29 07:43:51: 0  0 3193789 1181241   0   0   0   0    0   0   1 1056 1268  0  1 98  0  0.02   3.6
2013-10-29 07:43:57: 0  0 3193789 1181241   0   0   0   0    0   0   1 1103 1236  1  1 98  0  0.02   4.2
2013-10-29 07:44:03: 4  0 3193773 1181257   0   0   0   0    0   0   0 1043 1204  0  1 98  0  0.02   3.3
2013-10-29 07:44:09: 2  0 3193789 1181241   0   0   0   0    0   0   0 1054 1256  0  1 98  0  0.02   3.3
2013-10-29 07:44:15: 3  0 3193789 1181229   0   0   0   0    0   0   6 1234 1233  7  1 92  0  0.07  13.2
2013-10-29 07:44:21: 0  0 3193789 1181229   0   0   0   0    0   0   3 1212 1276  8  2 91  0  0.08  16.4
2013-10-29 07:44:27: 5  0 3193789 1181217   0   0   0   0    0   0   8 1483 1280 14  2 85  0  0.13  25.4
2013-10-29 07:44:33: 1  0 3193789 1181205   0   0   0   0    0   0   8 4340 1241 13  2 85  0  0.12  24.6
2013-10-29 07:44:39: 1  0 3193789 1181205   0   0   0   0    0   0   3 1079 1208  1  1 98  0  0.02   3.9
2013-10-29 07:44:45: 1  1 3193789 1181204   0   0   0   0    0   0  60 1356 1347 14  3 83  0  0.14  28.1
2013-10-29 07:44:51: 2  0 3193789 1181204   0   0   0   0    0   0   0 1056 1340  0  1 98  0  0.02   3.8
2013-10-29 07:44:57: 1  0 3193789 1181204   0   0   0   0    0   0   1 1100 1250  1  1 98  0  0.02   4.2
2013-10-29 07:45:03: 12  0 3193789 1181192   0   0   0   0    0   0   8 192716 16796 40  5 55  0  0.26  52.1
2013-10-29 07:45:09: 14  0 3193789 1181192   0   0   0   0    0   0   2 236250 10144 84  6 10  0  0.55 110.3
2013-10-29 07:45:15: 1  0 3193789 1181192   0   0   0   0    0   0   1 1103 1190  4  2 94  0  0.06  11.3
2013-10-29 07:45:21: 2  0 3193789 1181179   0   0   0   0    0   0   6 1268 1193 11  2 87  0  0.11  21.4
2013-10-29 07:45:27: 1  0 3193789 1181166   0   0   0   0    0   0  12 2357 1281 22  2 75  0  0.20  39.7
2013-10-29 07:45:33: 1  0 3193789 1181164   0   0   0   0    0   0   7 1279 1292  8  2 90  0  0.09  17.3
2013-10-29 07:45:39: kthr    memory              page              faults              cpu
2013-10-29 07:45:39: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 07:45:39: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 07:45:39: 1  0 3193789 1181152   0   0   0   0    0   0   9 1439 1275 14  2 84  0  0.13  26.9
2013-10-29 07:45:45: 1  0 3193789 1181148   0   0   0   0    0   0  55 1443 1278  1  3 95  0  0.04   8.4
2013-10-29 07:45:51: 1  0 3193789 1181148   0   0   0   0    0   0   0 1042 1217  1  2 98  0  0.02   4.8
2013-10-29 07:45:57: 1  0 3193789 1181148   0   0   0   0    0   0   1 1109 1182  1  2 97  0  0.03   5.3
2013-10-29 07:46:03: 1  0 3193789 1181148   0   0   0   0    0   0   1 1040 1245  1  2 98  0  0.02   4.8
2013-10-29 07:46:09: 2  0 3193789 1181038   0   0   0   0    0   0  74 109916 1368 11  5 85  0  0.12  24.8
2013-10-29 07:46:15: 2  0 3193789 1180935   0   0   0   0    0   0  58 35000 1341 19  4 78  0  0.18  36.3
2013-10-29 07:46:21: 22  0 3193789 1180934   0   0   0   0    0   0   3 418510 53863 89  8  3  0  0.65 130.5
2013-10-29 07:46:27: 4  0 3193789 1180934   0   0   0   0    0   0   4 1380 1274  8  2 90  0  0.09  18.2
2013-10-29 07:46:33: 3  0 3193789 1180934   0   0   0   0    0   0   1 7665 1139  1  2 97  0  0.03   5.1
2013-10-29 07:46:39: 4  0 3193789 1180934   0   0   0   0    0   0   3 1088 1211  1  2 98  0  0.02   5.0
2013-10-29 07:46:45: 2  0 3193805 1180917   0   0   0   0    0   0  69 5556 1270  2  3 95  0  0.05   9.2
2013-10-29 07:46:51: 2  0 3193805 1180917   0   0   0   0    0   0  16 1105 1203  2  2 97  0  0.03   6.4
2013-10-29 07:46:57: 1  0 3193805 1180915   0   0   0   0    0   0   3 1214 1200  8  2 90  0  0.08  16.7
2013-10-29 07:47:03: 1  0 3193805 1180915   0   0   0   0    0   0   2 1143 1190  7  2 91  0  0.07  14.9
2013-10-29 07:47:09: 5  0 3193821 1180898   0   0   0   0    0   0  13 16609 1218 12  2 86  0  0.11  21.4
2013-10-29 07:47:15: 4  0 3193821 1180897   0   0   0   0    0   0  23 15667 1212  3  2 95  0  0.04   8.2
