2013-10-29 06:27:21: 
2013-10-29 06:27:21: System configuration: lcpu=20 mem=24576MB ent=0.50
2013-10-29 06:27:21: 
2013-10-29 06:27:21: kthr    memory              page              faults              cpu
2013-10-29 06:27:21: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 06:27:21: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 06:27:21: 4  0 3062291 1407931   0   0   0   0    0   0  41 1104 1348  1  2 98  0  0.02   4.9
2013-10-29 06:27:23: 1  0 3062295 1407923   0   0   0   0    0   0 120 3144 1581  1  3 96  0  0.04   7.7
2013-10-29 06:27:25: 1  0 3062295 1407923   0   0   0   0    0   0  62 1425 1310  2  2 97  0  0.03   6.3
2013-10-29 06:27:27: 1  0 3062295 1407923   0   0   0   0    0   0 108 21302 1387  1  2 97  0  0.03   6.2
2013-10-29 06:27:29: 3  0 3062295 1407923   0   0   0   0    0   0 348 1279 1758  1  7 92  0  0.07  14.0
2013-10-29 06:27:31: 1  0 3062295 1407923   0   0   0   0    0   0 140 1221 1466  1  2 97  0  0.03   5.8
2013-10-29 06:27:33: 1  0 3062295 1407923   0   0   0   0    0   0 172 1262 1549  1  2 97  0  0.03   5.6
2013-10-29 06:27:35: 2  0 3062295 1407923   0   0   0   0    0   0  41 1283 1343  1  2 97  0  0.03   5.9
2013-10-29 06:27:37: 3  0 3062295 1407923   0   0   0   0    0   0  32 1233 1245  1  1 98  0  0.02   4.1
2013-10-29 06:27:39: 4  0 3062295 1407923   0   0   0   0    0   0 114 1379 1426  2  2 96  0  0.04   8.0
2013-10-29 06:27:41: 4  0 3062295 1407923   0   0   0   0    0   0 102 1257 1398  1  2 97  0  0.03   5.5
2013-10-29 06:27:43: 4  0 3062295 1407919   0   0   0   0    0   0  65 1460 1280  1  2 97  0  0.03   5.5
2013-10-29 06:27:45: 4  0 3062295 1407919   0   0   0   0    0   0 112 1314 1400  1  2 97  0  0.03   5.4
2013-10-29 06:27:47: 4  0 3062295 1407919   0   0   0   0    0   0  64 1252 1432  1  2 98  0  0.02   4.5
2013-10-29 06:27:49: 4  0 3062295 1407919   0   0   0   0    0   0 119 1316 1389  3  2 95  0  0.05   9.7
2013-10-29 06:27:51: 4  0 3062295 1407919   0   0   0   0    0   0  87 1295 1354  1  2 98  0  0.02   5.0
2013-10-29 06:27:53: 4  0 3062295 1407919   0   0   0   0    0   0  74 1271 1312  2  2 96  0  0.04   7.2
2013-10-29 06:27:55: 6  0 3062295 1407919   0   0   0   0    0   0  94 1448 1356  1  2 97  0  0.03   6.4
2013-10-29 06:27:57: 4  0 3062295 1407919   0   0   0   0    0   0 136 1270 1510  0  2 97  0  0.03   5.2
2013-10-29 06:27:59: 3  0 3062295 1407919   0   0   0   0    0   0  71 1243 1375  1  2 97  0  0.03   5.4
2013-10-29 06:28:01: kthr    memory              page              faults              cpu
2013-10-29 06:28:01: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 06:28:01: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
