2013-10-29 07:06:16: 
2013-10-29 07:06:16: System configuration: lcpu=20 mem=16384MB ent=0.50
2013-10-29 07:06:16: 
2013-10-29 07:06:16: kthr    memory              page              faults              cpu
2013-10-29 07:06:16: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 07:06:16: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 07:06:16: 6  0 2603372 472525   0   0   0   0    0   0  24 42733 2146 63  7 30  0  0.53 106.6
2013-10-29 07:06:21: 12  0 2603377 472483   0   0   0   0    0   0  24 431171 47512 67 13 19  0  0.58 116.6
2013-10-29 07:06:26: 7  0 2603377 472389   0   0   0   0    0   0  36 41803 2703 67  7 26  0  0.56 111.9
2013-10-29 07:06:31: 5  0 2603377 472350   0   0   0   0    0   0  24 146498 20231 64  7 29  0  0.69 137.4
2013-10-29 07:06:36: 6  0 2603378 472312   0   0   0   0    0   0  36 6963 2212 60  5 35  0  0.86 172.5
2013-10-29 07:06:41: 7  0 2603378 472297   0   0   0   0    0   0  30 29854 2280 46  6 47  0  0.42  84.6
2013-10-29 07:06:46: 8  1 2603378 472287   0   0   0   0    0   0 132 70419 13694 53 12 35  0  0.48  95.7
2013-10-29 07:06:51: 17  0 2603378 472284   0   0   0   0    0   0  10 340525 122934 41 16 43  0  0.37  73.9
2013-10-29 07:06:56: 6  0 2603378 472257   0   0   0   0    0   0  31 17779 2956 54  7 39  0  0.48  95.7
2013-10-29 07:07:01: 8  0 2603378 472245   0   0   0   0    0   0  19 32170 2800 64  6 30  0  0.56 112.7
2013-10-29 07:07:06: 2  0 2603378 472187   0   0   0   0    0   0  31 222925 99297 62 12 26  0  0.58 115.6
2013-10-29 07:07:11: 17  0 2603378 472107   0   0   0   0    0   0  34 190664 37681 65  8 27  0  0.76 151.1
2013-10-29 07:07:16: 7  0 2603407 472047   0   0   0   0    0   0  34 73956 3285 57  7 36  0  0.60 119.1
2013-10-29 07:07:21: 24  0 2603407 472001   0   0   0   0    0   0  11 428620 102388 75 13 12  0  0.55 110.3
2013-10-29 07:07:26: 6  0 2603407 471946   0   0   0   0    0   0  26 26346 2709 52  7 41  0  0.45  90.9
2013-10-29 07:07:31: 8  0 2603407 471918   0   0   0   0    0   0  24 56377 3446 54  7 38  0  0.48  95.5
2013-10-29 07:07:36: 5  0 2603407 471885   0   0   0   0    0   0  24 29881 9123 60  7 33  0  0.49  97.2
2013-10-29 07:07:41: 10  0 2603407 471864   0   0   0   0    0   0  23 353772 82748 60 15 24  0  0.51 101.8
2013-10-29 07:07:46: 3  1 2603407 471785   0   0   0   0    0   0 211 34245 4785 42 11 47  0  0.39  78.4
2013-10-29 07:07:51: 6  0 2603408 474199   0   0   0   0    0   0 164 188552 3660 55  9 37  0  0.65 129.9
2013-10-29 07:07:56: kthr    memory              page              faults              cpu
2013-10-29 07:07:56: ----- ----------- ------------------------ ------------ -----------------------
